aah|00867440
break_apart|01661660,01564843,00369315
break_away|02077161,01262255,02541382,02541123,02079296
break_bread|01174842
break_camp|02081104
break_dance|01900477
break_down|01106247,00645135,01788114,00435327,02045722,01372791,00209582,00030640
break_even|02284863,02011251
break_in|02576599,00782236,00348458,01210437,00336365,00202933
break_into|00988449,00550476
break_loose|00307321,02078906
break_off|00363458,00363001,01262255,01301517,01262022
break_one's_back|02426299
break_open|01349112,00310092,00308567
break_out|00346162,00347612,02077161,01488358,00309856
break_short|00363458
break_someone's_heart|01796980
break_through|00540850,00427702,00549346
break_up|02034269,02436167,02033508,01564843,00780320,00448264,01789398,01661660,01613367,01563766,01445197,01217581,00364950,00356609,00356457,00338881,00331375,00209582,00030359
break_water|01965517
break_wind|00101383
break_with|02436681
breakfast|01188273,01188408
bream|01247793
breast|02716118,02025001,01081565
breastfeed|01188961
breaststroke|01966185
breathalyse|02539263
breathalyze|02539263
breathe|00001740,02623136,02330268,02757662,00943377,00931665,00781405,00240640,00105087
breathe_in|00005041
breathe_out|00004227
brecciate|01587942,00339774
breed|01652566,01433080,01432088,00056076
breeze|02775438,01898513
breeze_through|02528247
brevet|02560505
brew|01667815,00328623
bribe|02288941
brick_in|01392732
brick_over|01392732
brick_up|01392732
bridge|02629275,01298910,01919124
bridge_over|02629427,02629275
bridle|01790111,01303241,01058790
bridle_at|00850574
bridle_up|00850574
brief|00832934
brigade|01092627
brighten|00313597,02777127
brim|02721687,00182414
brim_over|02076087
brine|00216987
bring|02081903,01441539,01632781,01435927,00135665,01436773,01621566,02329474,02252172,01812185,00769379
bring_about|02094946,01756692
bring_around|00769167,00081478,00022092
bring_back|02082541,00022092
bring_down|01977139,02407551,00750288,01985050,01834249,00430013
bring_forth|01630392,02145619,01756303,00054345
bring_forward|01997958,01027464
bring_home|00544241,02294759
bring_home_the_bacon|02529837,02224224
bring_in|02082838,02294200,02252172,02267740,02085030
bring_off|02528530
bring_on|01647592,02161530,01647780
bring_oneself|02512927
bring_out|02147756,01477931,00969657,00515544,02161530,01822636,01217161,01067137,00935783
bring_outside|02088351
bring_round|00769167,00022092
bring_through|02557529
bring_to|00022092
bring_to_bear|02566914
bring_up|01633150,02545454,02403303,01978076,01863840,01027255,01026199,00098100
brisk|00206174
brisk_up|00206174
brisken|00206174
bristle|02721470,01987611,02721331,00652969
bristle_at|00850574
bristle_up|00850574
broach|00966943
broadcast|00975088,01503823,00970243
broaden|00318370,00541315,00437357,00318269
broadside|01239795
brocade|01678138
broider|01671502
broil|00329180,00545216,02761440
broker|02266271
bromate|00526754,00187161
brominate|00526754,00187161
bronze|00282673,00103629
brooch|01551358
brood|00706015,02749936,02724891,01809351,00059956
brook|00670017
broom|01396368,01268939
browbeat|01785339,01037071
brown|00321047,00286465
brown-nose|00883055
browse|02331351,01578996,01317993,01177039
bruise|01495382,01797206,00340078,00260446
bruit|01044100
brunch|01188137
brush|01246373,01243284,01246546,01874036,00556857,01376383
brush_aside|00802592
brush_down|00827309
brush_off|00802592
brush_on|01267950
brush_up|00698618,00474730
brutalise|02521600,00113860,00113661
brutalize|02521600,00113860,00113661
bubble|00520136,02192368,01973091,00520309,00003443
bubble_over|01766953
bubble_up|01994960
buccaneer|02622065
buck|02537166,02383942,02059191,01888376
buck_up|01810374
bucket|01505080,01435675
bucket_along|02062918
buckle|01551072,01281789,00357608
buckle_down|02426299
buckle_under|00806138
buckram|00418900
bud|00358652,00346306
budge|01897981
budget|00725991
budget_for|00725813
buff|01420232,01248659
buffalo|01783927
buffer|00514425,01579748
buffet|01420359,01420232
bug|01807344,02193294
bug_out|02086193
bugger|02574307
bugger_off|02014716
bugle|01729916
build|01658171,00253876,01659048,00448113,02448289,01742980,01689496,00638777,00254163,00227308
build_in|00468064
build_on|02669721
build_up|00154416,00253876,01089608,00254163,00171865
build_upon|02669721
bulge|00264117,02720235,02086193,00257255
bulge_out|02086193
bulk|00264450,00257255
bulk_large|02749936
bull|02379540,02277218,00841205,00155947
bull_through|02379540
bulldog|01121448,01111226
bulldoze|01578219
bullet_vote|02468281
bulletin|00957065
bulletproof|00166139
bullshit|00841205
bully|01785339,01037071
bully_off|01086459
bullyrag|01785339
bulwark|01130497
bum|02275249,02645690
bum_about|02645690
bum_around|02645690
bumble|02533317,01905126,00983576
bump|01242183,02253273,01899376,02404473,01530296
bump_around|01869037
bump_into|01242872
bump_off|02488014
bump_up|00158495
bunch|02031257,01487029
bunch_together|02031257
bunch_up|02031257
bunco|02578034
bundle|01489634,01487029,01486416,00015156
bundle_off|01958868
bundle_up|01489634,00046749
bung|02206915,01348451
bungle|02533317,00013165
bunk|02579928,02342226,02079296
bunk_down|00017524
bunk_off|02620058
bunker|01406932,02343868,02017174
bunt|01410951,01238333
buoy|01908788,01221076,00924742
buoy_up|00861800,01818041,01221076
bur|00181579
burble|02192368
burden|01489937,00752538
burgeon|00358508
burgeon_forth|00357986
burglarise|02577426
burglarize|02577426
burgle|02577426
burke|02488373,00463807
burl|00180640
burlesque|00851619
burn|00379335,02774832,00377673,02124916,02768426,01833234,00378713,02490911,02273726,02125513,00374419,00104053,01760121,01207620,00196708
burn_down|00378022,00379335
burn_off|01207620,00196596
burn_out|00436247
burn_up|02768764,01207620,00378022
burnish|01248659
burp|00003443
burr|00181579
burrow|02045912
burst|00310092,01789214,00306798,01968641,02721470,00425177,01993576,00334404
burst_forth|01970508,00307321,00295284
burst_in_on|00782489
burst_out|00931971,00427109,00308567
burst_upon|00782489
burthen|01489937
bury|02151896,02461925,01237189,01585330,01532886,00611721
bus|01953987,01952969,00180873
bush|02341251
bush_out|02081793
bushel|00261534
bushwhack|01140630,02621933,02057647
busk|01763010
buss|01433863
bust|01372423,02500499,01576346,01372011,00334404
bust_up|01568966
bustle|02062115
bustle_about|02062115
busy|02420961
butcher|01325518
butt|01469607,01238333,01501352
butt-weld|01599325
butt_against|01469607,01242872
butt_in|00782236
butt_on|01469607
butter|01270562
butter_up|00883055
butterfly|01904149,01616825,01039782
button|01370829,01370565
button_up|01042933
buttonhole|02464366
buttress|00223287,00223154
buttweld|01599325
butylate|00184778
buy|02211988,02288941,02652841,02216885,00685589
buy_at|02471557
buy_back|02212672
buy_food|02331951
buy_in|02328282
buy_into|02289389
buy_it|00360460
buy_off|02289648
buy_out|02279144
buy_the_farm|00359085
buy_time|00461714
buy_up|02279144
buzz|02186555,01928220,02712465,00793966
buzz_off|02014716
by-bid|02303959
bypass|00812833
ca-ca|00073791
cab|01952866
cabal|00708804
cabbage|02281711
cabin|01305237
cable|01009249,01291524
cache|02310836
cachinnate|00032407
cackel|01057974
cackle|01058426,01058241,00031411
caddie|01099271
caddy|01099271
cadge|02275249,02275010
cage|02501685
cage_in|02501685
cajole|00770823
cake|01264885
cakewalk|01900650
calcify|00500069,00573439,00499743,00499611
calcimine|01272552
calcine|00372904
calculate|00638921,00713964,02270039,00928443,00714920,00714537
calendar|00680900
calender|01393749
calibrate|00296478,01592418,00741541
caliper|00649423
calk|01360894,01357268,00070507
call|01030757,00973047,00791110,00915018,00794133,02493222,02434657,01070017,01064761,00977068,02649505,02607453,02493550,02364060,02305021,01903010,01070815,00919743,00875684,00871057,00824407,00785570,00756201,00755926,00740752,00740588,00693282,00107035
call_at|02021151
call_attention|00926583
call_back|02317458,00609334,00793426,00793168
call_down|01633150,00826456
call_for|00754770,02634015,01065717,02310566
call_forth|01650408,01633150
call_in|01472589,00793673,02493222,02410262,00791797,02364060,02317458
call_into_question|00869073
call_it_a_day|02687145
call_it_quits|02687145
call_off|02483178,01903010
call_on|00796302
call_on_the_carpet|00826456
call_one's_bluff|00869934
call_out|00914001,00977616,00870643
call_the_shots|02607268
call_the_tune|02607268
call_to_order|02430610
call_up|01027464,00791110,00609334,01633724,01100371
calligraph|01695555
calliper|00649423
callous|00273913
callus|00256766,00256638
calm|01768652,00417496,01767681,00022309
calm_down|01767681,01768652,00559138
calumniate|00848188
calve|01217581,00058651
camber|02039270
camouflage|02163326
camp|02660091,01516880,00526885
camp_down|01516880
camp_out|02660091
campaign|01096497,02595732,01096197
camphorate|00187057
can|00214220,02407967
canal|02341011
canalise|02341011
canalize|02341011
cancel|02483178,02723706,02482757,01551969,00802122
cancel_out|00472127
candle|02154329
candy|02200824
cane|01414858
canker|00089827,00089725
cannibalise|01164607,01164459
cannibalize|01164607,01164459
cannon|01150453,01136948
cannonade|01138907
cannonball_along|02062918
cannulate|01424826
cannulise|01424826
cannulize|01424826
canoe|01951402
canonise|00862741,00824790
canonize|00824790,00862741
canoodle|01229345
canopy|01340208
cant|01888570
cant_over|01888570
canter|01963199,01963528,01963341
cantilever|02720740,01659776
cantillate|01051609
canton|02659254,02475019
canulate|01424826
canvas|01270861
canvass|02459761,02464179,00646245
cap|02699010,00236954
cap_off|00486366
capacitate|00974489,00527012,00301960
caparison|01674210
caper|01971111
capitalise|02335738,02284617,01696161,00733144,00732985,00161975
capitalize|02284617,02335738,01696161,00733144,00732985,00161975
capitulate|01120230
caponise|00060850
caponize|00060850
capriole|01968898,01899161
capsize|01897306
capsulate|01583919
capsule|01583919,00245302
capsulise|01583919,00245302
capsulize|01583919,00245302
captain|02445351
caption|02328866
captivate|01810472
capture|01690521,01810472,01217985,02309221,02277394,01482779
caracole|01913154
caramelise|00114423,00114099
caramelize|00114423,00114099
caravan|01953192
carbonate|02633302,00186885
carbonise|00374173,00370281
carbonize|00374173,00370281
carboxylate|00527161
carburet|01602356
carburise|00374173
carburize|00374173
card|01358959,00665812
care|01826886,02555993,01828678,02441196,01770600
care_a_hang|01827099
care_for|01832565,01780135,00078513
careen|01928835,01888967
career|02086428
caress|01228779
caricature|00851272
carjack|01475047
cark|01768023
carmine|00536336
carnalise|00133786
carnalize|01684368,00728974,00133786
carnify|00500503
carol|01735709
carom|01896842,01601316
carouse|02498909
carp|00810333
carpenter|02413973
carpet|02755395,01237637,01237484
carpet_bomb|01134781
carry|01452567,02722977,02084180,01062889,01220648,01604155,02706727,02567083,00235827,02642409,01103827,00740956,02523827,02290237,01750167,01411414,01063192,02752610,02747232,02688777,02642600,02636815,02592213,02562363,02561392,02364227,02308858,02237977,02016577,02005731,01744201,01244445,01207773,01205694,01126035,01125841,01103982,01103083,01051478,00058790
carry_away|01436911
carry_back|00643194
carry_forward|02017279
carry_off|02528530,01436911,00471632
carry_on|02450374,02685709,00783045,02523321
carry_out|01644397,00486949
carry_over|00350605,02083577,02207584,02017279
carry_the_can|02307042
carry_through|01644397,02557529
carry_to_term|00059330
carry_weight|00703490
cart|01457421,01454113
cart_away|01454276
cart_off|01454276
cartoon|01697622
cartwheel|02050235
carve|01258721,01259164,01258531
carve_out|01762370,00588846
carve_up|02473085
cascade|02075244,01468361
cascade_down|02075244
case|02170426,01488938
caseate|00527419,00527309
cash|02261162
cash_in|02261162
cash_in_on|02284358
cash_in_one's_chips|00359085
cash_out|02761107
cashier|02432443,02427659
casket|01602460
cast|01636439,02240805,01714340,01509775,02390955,01885173,01666666,01516062,01080443,00983308,00076153
cast_about|00651015
cast_anchor|01307376
cast_around|00651015
cast_aside|02227100
cast_away|02227100
cast_down|01818363
cast_off|01516062,01675504
cast_on|01675358
cast_out|02509666,02227100
castigate|00825981,02505793
castle|01079722
castrate|00543033,00201398,00060604,00060248
cat|01414524,00076153
catabolise|00239606
catabolize|00239606
catalog|01629881,00654293
catalogue|00654293,01629881
catalyse|00268405
catalyze|00268405
catapult|01518198,01516980
catcall|01062781
catch|00727710,02122438,01403769,01441809,01217985,01330498,01508590,01482779,02022224,02253107,01157556,00544096,02516571,02193614,02155378,01330694,00601230,00591299,00087740,02767092,02193844,02114099,01810472,01741988,01483099,01383031,01084847,00727971,00461312
catch_a_glimpse|02134344
catch_a_wink|00015491
catch_cold|00087872
catch_fire|02766580
catch_it|02506138
catch_on|00591761,00544367
catch_one's_breath|00781405
catch_out|00733559
catch_sight|02134344
catch_some_z's|00014735
catch_up|02002825,00600148
catch_up_with|01157556,02526396
catechise|00789177,00789021
catechize|00789021,00789177
categorise|00658931
categorize|00658931
catenate|01468932
catenulate|01468932
cater|01185006,01183141
caterwaul|00916587
cathect|00023373
catheterise|00189053
catheterize|00189053
catholicise|00387237
catholicize|00387237
catnap|00015491
caucus|02434529
caulk|01357268
cause|01649143,00772482
cause_to_be_perceived|02128368
cause_to_sleep|00019266
causeway|02340900,01270306
cauterise|00374419,00273913
cauterize|00374419,00273913
caution|00872857
cave|01285636,00651540
cave_in|01993067
cavern|01285491
cavern_out|01285491
cavil|00810333
cavort|01887709
caw|01061937
cease|02686624,02615799
cede|02321629,02240011
celebrate|02584595,02496526,02404098
cell_phone|00791596
cement|01306736,01369629,01369356
cense|02131151
censor|02499315,00684847
censure|00825330
census|00950739
center|02682306,00724156,01856668
center_on|02682306,02729320
center_punch|01446359
centralise|00406161
centralize|00406161
centre|01856668,00724156
centrifugate|02051212
centrifuge|02051212
cere|01286496
cerebrate|00630153
certificate|02266946,00805664
certify|00822637,02354809,02449527,02452658,00823923
cha-cha|01901299
chafe|02124124,01792552,01791774,01256372,01253472,00374050
chaff|00856977
chaffer|02264354,01040538
chagrin|01803805
chain|01467560,01291239
chain-smoke|01201090
chain_up|01289039
chair|02444885,00815452
chairman|02444885
chalk|01694058
chalk_out|01701523
chalk_up|02326225,00951873
challenge|00870790,00870255,00810005,00809824
chamber|02662158
chamfer|01586914,01280213
champ|01177429,01177270
champion|01151604
chance|02600258,02550045,02253273
chance_on|02291532
chance_upon|02291532
chandelle|01974139
change|00126072,00109468,00122978,00551194,00169266,00161033,02262178,02092508,00552287,00163059
change_by_reversal|00138328
change_course|01950676
change_form|00140787
change_hands|02226741
change_integrity|00139943
change_intensity|02195552
change_magnitude|00169459
change_over|00380830,00381684
change_owners|02226741
change_posture|01987785
